PK (7100)	GUID (5800)	DayOfWeek (7101)	Starttime (7102)	Length (7115)	Course (7106)	Subject (7103)	Teacher (7104)	Group (7105)	Room (7107)	Period (7108)	Week (7109)	ActualWeeks (7167)
549	{B02A3E56-770B-4E34-AB4E-4E3FC1A592A1}	Onsdag	10:10	60	ESTE1000X	EST	SalMal	EST01:25_MA3_4	E1			35-41, 43, 45-49, 51, 3-8, 10, 12-14, 16-22, 24
145	{7C5A42F3-66ED-49AE-A957-CB6583DDEAB7}	Onsdag	10:10	60	ESTE1000X	EST	NorbSo	EST01:25_MA3_5	E1			35-41, 43, 45-49, 51, 3-8, 10, 12-14, 16-22, 24
1144	{B2662A86-4961-4ACA-8FB3-449C9376407A}	Onsdag	10:10	60		Gruppbas	KarnFr	GRBS:25_MA1	105			35-41, 43, 45-49, 51, 3-8, 10, 12-14, 16-22, 24
302	{4CA476CA-0F71-4A3A-8D35-6A01FDF35B1C}	Tisdag	9:40	30	INSR1000XGIT	MUS	KronAl	GI01:25A_HjaArv	102			35-43, 45, 47-51, 3-8, 10, 12-14, 16-22, 24
1079	{BEBAD9C4-17F6-4666-AEF8-91AABC3CC53E}	Tisdag	10:10	30	INSR1000XGIT	MUS	KronAl	GI01:25A_LiaAss	102			35-43, 45, 47-51, 3-8, 10, 12-14, 16-22, 24
980	{3397C24F-D7CB-4E59-97BE-89DBEEB15D19}	Tisdag	9:40	60	MUST1000X	MUT	StröJo	MUT01:25_MA6	223			35-43, 45, 47-51, 3-8, 10, 12-14, 16-22, 24
382	{E8E87DB8-49BE-4DE3-B7E4-3128465AB2F8}	Tisdag	10:50	60	MUST1000X	MUT	LindAn	MUT01:25_MA1	231			35-43, 45, 47-51, 3-8, 10, 12-14, 16-22, 24
198	{C0A2E5B6-EE5E-4FA3-8E95-115CD01AF02A}	Tisdag	10:50	60	ENSE1000X	MUS	KullJo	ENS01:25_MA3_1	021			35-43, 45, 47-51, 3-8, 10, 12-14, 16-22, 24
1143	{4A0EB98E-C203-4222-8472-0ABFA6152BDC}	Tisdag	10:50	60	ENSE1000X	MUS	SandVi	ENS01:25_MA3_4	026			35-43, 45, 47-51, 3-8, 10, 12-14, 16-22, 24
1142	{AE57DF01-0DAA-4F75-98C5-9BBFC3CDCB96}	Tisdag	10:50	60	ENSE1000X	MUS	LindLi,GrönSa	ENS01:25_LS3	020			35-43, 45, 47-51, 3-8, 10, 12-14, 16-24
1141	{6D5978FA-AC14-4B75-9EE8-77F9B623821F}	Tisdag	10:50	60	ENSE1000X	MUS	NorbSo	ENS01:25_MA3_2	023			35-43, 45, 47-51, 3-8, 10, 12-14, 16-22, 24
1140	{8F2DE99F-6879-4961-AF54-C799DEF707E9}	Tisdag	10:50	60	ENSE1000X	MUS	KarnFr	ENS01:25_MA3_3	024			35-43, 45, 47-51, 3-8, 10, 12-14, 16-22, 24
1139	{BAC3DE90-EEC5-4A99-95B5-6AF863D33116}	Tisdag	10:50	60	ENSE1000X	MUS	DrouJo	ENS01:25_MA3_5	027			35-43, 45, 47-51, 3-8, 10, 12-14, 16-22, 24
240	{1AFCEED2-9601-4FF1-985E-3B7EF09CCD3D}	Tisdag	10:50	60	ENSE1000X	MUS	StröJo,SkoJon	ENS01:25_MP3	032			35-43, 45, 47-51, 3-8, 10, 12-14, 16-24
1154	{C32AF440-7DB4-4BC5-A875-ECDF89C3129B}	Tisdag	10:50	60	MUST1000X	MUT	SiweAn	MUT01:25_MA2	035			35-43, 45, 47-51, 3-8, 10, 12-14, 16-22, 24
908	{11EFACF8-217F-4ABC-870D-8189106A81AE}	Tisdag	8:30	60	MUST1000X	MUT	LindLi	MUT01:25_MA3	035			35-43, 45, 47-51, 3-8, 10, 12-14, 16-22, 24
325	{5BD35AC1-4BDE-4C1D-AC51-3BD137D035D8}	Tisdag	8:30	60	MUST1000X	MUT	NorbSo	MUT01:25_MA4	231			35-43, 45, 47-51, 3-8, 10, 12-14, 16-22, 24
